fi	sv	en
päättää valtiopäivät	close the parliamentary session	
päätösehdotus		beslutsförslag
päätösehdotus		förslag till beslut
päätösehdotus	proposed decision	
päätöspöytäkirja		beslutsprotokoll
päätöspöytäkirja		beslutsprotokoll över plenum
päätöspöytäkirja	summary record of a plenary session	
pöydällepano		bordläggning
pöydällepano	deferral	
pöydällepanoehdotus		bordläggningsförslag
pöydällepanoehdotus		förslag om bordläggning
pöydällepanoehdotus	deferral proposal	
pöytäkirjasihteeri		protokollssekreterare
pöytäkirjasihteeri	plenary session secretary	
pöytäkirjatoimisto		protokollbyrån
pöytäkirjatoimisto	Records Office	
r		Svenska riksdagsgruppen
r		sv
r	Swedish Parliamentary Group	
rajoittamaton puheoikeus		obegränsad rätt att tala
rajoittamaton puheoikeus		obegränsad rätt att yttra sig
rajoittamaton puheoikeus		obegränsad yttranderätt
rajoittamaton puheoikeus		yttranderätt
rajoittamaton puheoikeus	unlimited right to speak	
rajoitukseton puheoikeus		obegränsad rätt att tala
rajoitukseton puheoikeus		obegränsad rätt att yttra sig
rajoitukseton puheoikeus		obegränsad yttranderätt
rajoitukseton puheoikeus		yttranderätt
rajoitukseton puheoikeus	unlimited right to speak	
ratkaiseva käsittely		avgörande behandling
ratkaiseva käsittely	decisive reading	
raueta		falla
raueta		förfalla
raueta	lapse	
repliikki		replik
repliikki	comment	
repliikki	reply	
repliikki	response	
rinnakkaislakialoite		parallell lagmotion
rinnakkaislakialoite	alternative legislative motion	
ruotsin kielen toimisto		svenska byrån
ruotsin kielen toimisto	Swedish Office	
ryhmäkanslia		gruppkansli
ryhmäkanslia	parliamentary group office	
ryhmäkokous		gruppmöte
ryhmäkokous	group meeting	
ryhmäkokous	parliamentary group meeting	
ryhmäkuri		gruppdisciplin
ryhmäkuri		partipiska
ryhmäkuri	parliamentary group discipline	
ryhmän piiskuri		inpiskare
ryhmän piiskuri	group whip	
ryhmäpiiskuri		inpiskare
ryhmäpiiskuri	group whip	
ryhmäpuheenvuoro		gruppanförande
ryhmäpuheenvuoro	group speech	
ryhmäpuheenvuorokierros		gruppanförandeomgång
ryhmäpuheenvuorokierros		omgång gruppanföranden
ryhmäpuheenvuorokierros	round of group speeches	
ryhmätoimisto		gruppkansli
ryhmätoimisto	parliamentary group office	
salijärjestelmä		plenisalssystemet
salijärjestelmä		salssystemet
salijärjestelmä		systemet i plenisalen
salijärjestelmä	Plenary Hall information system	
sd		Socialdemokratiska riksdagsgruppen
sd		sd
sd	Social Democratic Parliamentary Group	
sidonnaisuusrekisteri		register över bindningar
sidonnaisuusrekisteri	Register of Members' Private Interests	
siirtomääräraha		reservationsanslag
siirtomääräraha	carryover appropriation	
siirtomääräraha	deferrable appropriation	
sijaantulojärjestys		inträdesordning
sijaantulojärjestys	order of replacement	
sisäinen tietopalvelu		interna utredningstjänsten
sisäinen tietopalvelu	Research Service	
sivistys- ja tiedejaosto		KvD
sivistys- ja tiedejaosto		kultur- och vetenskapsdelegationen
sivistys- ja tiedejaosto	Education and Science Sub-committee	
sivistysvaliokunta		KuU
sivistysvaliokunta		kulturutskottet
sivistysvaliokunta	Education and Culture Committee	
sopeutumisraha		anpassningsbidrag för riksdagsledamot
sopeutumisraha	adjustment allowance	
sopuvaali		enhälligt val
sopuvaali		sämjoval
sopuvaali		val med acklamation
sopuvaali	consensus election	
sosiaali- ja terveyskertomus		social- och hälsovårdsberättelse
sosiaali- ja terveyskertomus	Social and Health Report	
sosiaali- ja terveysvaliokunta		ShU
sosiaali- ja terveysvaliokunta		social- och hälsovårdsutskottet
sosiaali- ja terveysvaliokunta	Social Affairs and Health Committee	
suhteellinen vaali		proportionellt val
suhteellinen vaali	proportional election	
suhteellinen vaalitapa		proportionellt valsätt
suhteellinen vaalitapa	proportional vote	
suljettu lippuäänestys		omröstning med slutna sedlar
suljettu lippuäänestys		sluten omröstning
suljettu lippuäänestys	closed-ballot vote	
suljettu lippuäänestys	vote by closed ballot	
suljettu lippuäänestys	vote by secret ballot	
suljettu äänestys		sluten omröstning
suljettu äänestys	closed vote	
supistettu perustuslain säätämisjärjestys		inskränkt grundlagsordning
supistettu perustuslain säätämisjärjestys	simplified procedure for constitutional enactment	
suullinen kyselytunti		frågestund
suullinen kyselytunti		muntlig frågestund
suullinen kyselytunti		muntlig frågetimme
suullinen kyselytunti	question hour	
suullinen kyselytunti	question time	
suullinen kysymys		muntligt spörsmål
suullinen kysymys	oral question	
suullisen kyselytunnin asia		MFT
suullisen kyselytunnin asia		ärende vid muntlig frågestund
suullisen kyselytunnin asia		ärende vid muntlig frågetimme
suullisen kyselytunnin asia	question time query	
suuri sali		plenisalen
suuri sali		riksdagens plenisal
suuri sali		salen
suuri sali	Plenary Hall	
suuri valiokunta		StoU
suuri valiokunta		stora utskottet
suuri valiokunta	Grand Committee	
syysistuntokausi		höstsession
syysistuntokausi	autumn session	
syysistuntokausi	autumn sittings	
syysistuntokausi	autumn term	
säädös		författning
säädös		rättsakt
säädös	statute	
säädösvalmistelu		lagberedning
säädösvalmistelu	drafting of statutes	
säädösvalmistelu	statute drafting	
säännös		bestämmelse
säännös		föreskrift
säännös		regel
säännös	provision	
säätää laki perustuslain säätämisjärjestyksessä		stifta en lag i grundlagsordning
säätää laki perustuslain säätämisjärjestyksessä	enact an act according to the procedure for constitutional enactment	
taksinkäyttöoikeus		rätt att anlita taxi
taksinkäyttöoikeus	right to use a taxi	
talousarvioaloite		BM
talousarvioaloite		budgetmotion
talousarvioaloite	budgetary motion	
talousarvioesitys		budgetproposition
talousarvioesitys		proposition om statsbudgeten
talousarvioesitys		regeringens proposition om statsbudgeten
talousarvioesitys	budget proposal	
talousarviolausuma		budgetuttalande
talousarviolausuma	budget resolution	
talousarviolausunto		budgetutlåtande
talousarviolausunto	statement on the Budget	
talousarviomietintö		budgetbetänkande
talousarviomietintö	report on the Budget	
talousvaliokunta		EkU
talousvaliokunta		ekonomiutskottet
talousvaliokunta	Commerce Committee	
tarkastusvaliokunta		ReU
tarkastusvaliokunta		revisionsutskottet
tarkastusvaliokunta	Audit Committee	
tasavallan presidentin asetus		förordning av republikens president
tasavallan presidentin asetus		republikens presidents förordning
tasavallan presidentin asetus	decree of the President of the Republic	
tasavallan presidentin asetus	presidential decree	
tasavallan presidentin juhlallinen vakuutus		republikens presidents högtidliga försäkran
tasavallan presidentin juhlallinen vakuutus	solemn affirmation of the President of the Republic	
tavallisen lain säätämisjärjestys		vanlig lagstiftningsordning
tavallisen lain säätämisjärjestys	enactment procedure for ordinary acts	
tiedonsaantioikeus		riksdagens rätt att få information
tiedonsaantioikeus		rätt att få information
tiedonsaantioikeus	parliament's right to information	
tieto- ja viestintäyksikkö		utrednings- och informationsenheten
tieto- ja viestintäyksikkö	Information and Communication Department	
tietohallintotoimisto		dataadministrationsbyrån
tietohallintotoimisto	Information Management Office	
tilapäinen puhemies		tillfällig talman
tilapäinen puhemies	temporary speaker	
tilapäinen puhemies	temporary speaker of Parliament	
tilapäinen valiokunta		tillfälligt utskott
tilapäinen valiokunta	ad hoc committee	
tilapäinen valiokunta	temporary committee	
tilimuistutuskertomus		revisionsanmärkningsberättelse
tilimuistutuskertomus	Action Report on the Budget	
tilintarkastuskertomus		revisionsberättelse
tilintarkastuskertomus		revisionsberättelse från riksdagens revisorer
tilintarkastuskertomus	Parliamentary Auditors' Report	
tilintarkastuskertomus	Report of the Auditors of Parliament	
tilitoimisto		räkenskapsbyrån
tilitoimisto	Accounts Office	
toimenpidealoite		AM
toimenpidealoite		åtgärdsmotion
toimenpidealoite	petitionary motion	
toimenpidekertomus		berättelse om regeringens åtgärder
toimenpidekertomus		regeringens berättelse
toimenpidekertomus		regeringens åtgärdsberättelse
toimenpidekertomus		åtgärdsberättelsen
toimenpidekertomus	Government Annual Report	
toimielinvaali		VAL
toimielinvaali		val av organ
toimielinvaali		val till organ
toimielinvaali	election of a parliamentary body	
toinen käsittely		andra behandlingen
toinen käsittely	second reading	
toinen varapuhemies		andre vice talman
toinen varapuhemies	Second Deputy Speaker	
toinen varapuhemies	Second Deputy Speaker of Parliament	
toissijaisuusasia		SÄ
toissijaisuusasia		subsidiaritetsärende
toissijaisuusasia	subsidiarity issue	
toissijaisuusmenettely		subsidiaritetsförfarande
toissijaisuusmenettely	procedure for monitoring compliance with the principle of subsidiarity	
toissijaisuusmenettely	subsidiarity procedure	
toissijaisuusvalvonta		subsidiaritetskontroll
toissijaisuusvalvonta	monitoring of compliance with the principle of subsidiarity	
toissijaisuusvalvonta	subsidiarity monitoring	
tuki puolueelle		bidrag till parti
tuki puolueelle		partibidrag
tuki puolueelle	party aid	
tulevaisuusvaliokunta		FrU
tulevaisuusvaliokunta		framtidsutskottet
tulevaisuusvaliokunta	Committee for the Future	
tulla voimaan		träda i kraft
tulla voimaan	come into force	
tulla voimaan	enter into force	
tuloarviot		inkomstposter
tuloarviot		inkomstsidan
tuloarviot		uppskattningar av de årliga inkomsterna
tuloarviot	estimates of annual revenues	
tuloarviot	revenue estimates	
tulopuoli		inkomstposter
tulopuoli		inkomstsidan
tulopuoli		uppskattningar av de årliga inkomsterna
tulopuoli	estimates of annual revenues	
tulopuoli	revenue estimates	
tulostaulu		informationstavla
tulostaulu		resultattavla
tulostaulu	results panel	
turvallisuusyksikkö		säkerhetsenheten
turvallisuusyksikkö	Security Department	
työ- ja elinkeinojaosto		AnD
työ- ja elinkeinojaosto		arbets- och näringsdelegationen
työ- ja elinkeinojaosto	Employment and Economy Sub-committee	
työelämä- ja tasa-arvovaliokunta		AjU
työelämä- ja tasa-arvovaliokunta		arbetslivs- och jämställdhetsutskottet
työelämä- ja tasa-arvovaliokunta		arbetspolitiska utskottet
työelämä- ja tasa-arvovaliokunta	Employment and Equality Committee	
työllisyyskertomus		sysselsättningsberättelse
työllisyyskertomus	Employment Report	
työllisyyskertomus	Report on Employment	
täydennysvaali		VAL
täydennysvaali		fyllnadsval
täydennysvaali		kompletterande val
täydennysvaali		kompletteringsval
täydennysvaali	supplementary election	
täydentävä hallituksen esitys		kompletterande proposition
täydentävä hallituksen esitys		kompletteringsproposition
täydentävä hallituksen esitys		regeringens proposition om komplettering av en proposition
täydentävä hallituksen esitys	supplementary government proposal	
täydentävä talousarvioesitys		kompletterande budgetproposition
täydentävä talousarvioesitys		komplettering av budgetpropositionen
täydentävä talousarvioesitys		kompletteringsproposition
täydentävä talousarvioesitys	amendment to the budget proposal	
täysistunnon notaari		notarie
täysistunnon notaari		notarie i plenum
täysistunnon notaari		riksdagens notarie
täysistunnon notaari	plenary session clerk	
täysistunnon päiväjärjestys		DO
täysistunnon päiväjärjestys		dagordning
täysistunnon päiväjärjestys		dagordning för plenum
täysistunnon päiväjärjestys	agenda	
täysistunnon päiväjärjestys	agenda for a plenary session	
täysistunnon päiväjärjestys	plenary session agenda	
täysistunnon päätöspöytäkirja		beslutsprotokoll
täysistunnon päätöspöytäkirja		beslutsprotokoll över plenum
täysistunnon päätöspöytäkirja	summary record of a plenary session	
täysistunnon pöytäkirja		PR
täysistunnon pöytäkirja		plenarprotokoll
täysistunnon pöytäkirja	minutes of a plenary session	
täysistunnon pöytäkirja	record of a plenary session	
täysistunnon tulkkaus		tolkning i plenum
täysistunnon tulkkaus	interpretation in plenary sessions	
täysistunnon tulkki		plenartolk
täysistunnon tulkki		tolk i plenum
täysistunnon tulkki	plenary session interpreter	
täysistunnossa toimitettava vaali		VAL
täysistunnossa toimitettava vaali		förrätta val i plenum
täysistunnossa toimitettava vaali		val i plenum
täysistunnossa toimitettava vaali		val som förrättas i plenum
täysistunnossa toimitettava vaali	election held in a plenary session	
täysistunnossa toimitettava vaali	plenary election	
täysistunto		plenum
täysistunto		session
täysistunto	plenary session	
täysistuntopoissaolo		frånvaro från plenum
täysistuntopoissaolo	absence from a plenary session	
täysistuntosali		plenisalen
täysistuntosali		riksdagens plenisal
täysistuntosali		salen
täysistuntosali	Plenary Hall	
täysistuntosalin istumajärjestys		placering
täysistuntosalin istumajärjestys		sittordning
täysistuntosalin istumajärjestys		sittordning i plenisalen
täysistuntosalin istumajärjestys	seating arrangement	
täysistuntosalin istumajärjestys	seating arrangement in Plenary Hall	
täysistuntosalin pyöreä pöytä		runda bordet
täysistuntosalin pyöreä pöytä		runda bordet i plenisalen
täysistuntosalin pyöreä pöytä	Plenary Hall Round Table	
täysistuntosuunnitelma		plenarplan
täysistuntosuunnitelma		plenarplan för vår/höstsessionen
täysistuntosuunnitelma	plenary session schedule	
täysistuntosuunnitelma	schedule of plenary sessions	
ulkoasiainvaliokunta		UtU
ulkoasiainvaliokunta		utrikesutskottet
ulkoasiainvaliokunta	Foreign Affairs Committee	
ulkopuolella päiväjärjestyksen		utanför dagordningen
ulkopuolella päiväjärjestyksen		utom dagordningen
ulkopuolella päiväjärjestyksen	non-agenda	
uurna		urna
uurna		valurna
uurna	ballot box	
uurna	ballot receptacle	
vaaliasiamies		valombud
vaaliasiamies	polling representative	
vaaliavustaja		valbiträde
vaaliavustaja	polling assistant	
vaalikauden päättäjäiset		avslutning av valperioden
vaalikauden päättäjäiset		valperiodens avslutning
vaalikauden päättäjäiset	closing ceremonies of the electoral term	
vaalikauden päättäjäiset	formal closing of the electoral term	
vaalikausi		riksdagens mandatperiod
vaalikausi		riksdagens mandattid
vaalikausi		valperiod
vaalikausi	electoral term	
vaalikausi	parliamentary term	
vaalikausi	term of Parliament	
vaalikelpoisuus		valbarhet
vaalikelpoisuus	candidate eligibility	
vaalikelpoisuus	eligibility	
vaalikuori		valkuvert
vaalikuori	ballot envelope	
vaalilautakunta		valnämnd
vaalilautakunta	election board	
vaalileima		valstämpel
vaalileima	election stamp	
vaaliliitto		valförbund
vaaliliitto	electoral alliance	
vaaliluettelo		vallängd
vaaliluettelo	electoral roll	
vaalin tuloksen vahvistaminen		fastställande av valresultatet
vaalin tuloksen vahvistaminen	confirmation of election results	
vaalipiiri		valkrets
vaalipiiri	electoral district	
vaalipiiri	multi-member constituency	
vaalipiirilautakunta		valkretsnämnd
vaalipiirilautakunta	constituency electoral committee	
vaalipäivä		valdag
vaalipäivä	election day	
vaalipäivän äänestys		röstning på valdagen
vaalipäivän äänestys	voting on election day	
vaalipäivän äänestyspaikka		röstningsställe på valdagen
vaalipäivän äänestyspaikka	election day polling station	
vaalipöytäkirja		valprotokoll
vaalipöytäkirja	election record	
vaalirahoituksen ilmoitusrekisteri		redovisningsregister
vaalirahoituksen ilmoitusrekisteri		register över redovisning av valfinansiering
vaalirahoituksen ilmoitusrekisteri	election financing record	
vaalirahoituksesta ilmoittaminen		redovisning av valfinansiering
vaalirahoituksesta ilmoittaminen	disclosure of election financing	
vaalirahoitus		valfinansiering
vaalirahoitus	campaign financing	
vaalirahoitus	election financing	
vaalisalaisuus		valhemlighet
vaalisalaisuus	election secrecy	
vaalitapa		valsätt
vaalitapa	electoral system	
vaalitarkkailija		valobservatör
vaalitarkkailija	election observer	
vaalitoimikunta		valbestyrelse
vaalitoimikunta	electoral commission	
vaalitoimitsija		valförrättare
vaalitoimitsija	election official	
vaaliuurna		urna
vaaliuurna		valurna
vaaliuurna	ballot box	
vaaliuurna	ballot receptacle	
vahvistaa laki		stadfästa en lag
vahvistaa laki	approve a bill	
vahvistaa vaalin tulos		fastställa valresultatet
vahvistaa vaalin tulos	confirm election results	
vahvistamatta jäänyt laki		ISL
vahvistamatta jäänyt laki		icke stadfäst lag
vahvistamatta jäänyt laki	unapproved bill	
vaikeutettu säätämisjärjestys		grundlagsordning
vaikeutettu säätämisjärjestys		kvalificerad lagstiftningsordning
vaikeutettu säätämisjärjestys	procedure for constitutional enactment	
valiokunnan jaosto		delegation
valiokunnan jaosto		utskottsdelegation
valiokunnan jaosto	sub-committee	
valiokunnan jäsen		ledamot i utskott
valiokunnan jäsen		ledamot i xxx utskottet
valiokunnan jäsen		medlem av utskott
valiokunnan jäsen		medlem av xxx utskottet
valiokunnan jäsen		utskottsledamot
valiokunnan jäsen		utskottsmedlem
valiokunnan jäsen		xxx utskottets ledamot
valiokunnan jäsen	committee member	
valiokunnan jäsen	member of a committee	
valiokunnan lausunto		utlåtande
valiokunnan lausunto		utlåtande från utskottet
valiokunnan lausunto		utlåtande från xxx utskottet
valiokunnan lausunto		utskottets utlåtande
valiokunnan lausunto		utskottsutlåtande
valiokunnan lausunto	committee statement	
valiokunnan lausunto	statement of a committee	
valiokunnan mietintö		betänkande
valiokunnan mietintö		betänkande från xxx utskottet
valiokunnan mietintö		utskottets betänkande
valiokunnan mietintö		utskottsbetänkande
valiokunnan mietintö		xxx utskottets betänkande
valiokunnan mietintö	committee report	
valiokunnan mietintö	report of the committee	
valiokunnan mietintöluonnos		betänkandeutkast
valiokunnan mietintöluonnos		utkast till betänkande
valiokunnan mietintöluonnos		utkast till betänkande från xxx utskottet
valiokunnan mietintöluonnos		utkast till utskottets betänkande
valiokunnan mietintöluonnos	draft committee report	
valiokunnan mietintöluonnos	draft report	
valiokunnan muutosehdotus		utskottets ändringsförslag
valiokunnan muutosehdotus	proposed committee amendment	
valiokunnan oma asia		EÄ
valiokunnan oma asia		utskottets eget ärende
valiokunnan oma asia	committee-initiated matter	
valiokunnan pöytäkirja		utskottsprotokoll
valiokunnan pöytäkirja	committee minutes	
valiokunnan pöytäkirja	record of a committee meeting	
valiokunnan saama selvitys		ministeriets utredning till ett utskott
valiokunnan saama selvitys		utredning till ett utskottet
valiokunnan saama selvitys	ministry report	
valiokunnan uusi lakiehdotus		nytt lagförslag från utskottet
valiokunnan uusi lakiehdotus		nytt lagförslag från xxx utskottet
valiokunnan uusi lakiehdotus		utskottets nya lagförslag
valiokunnan uusi lakiehdotus		xxx utskottets nya lagförslag
valiokunnan uusi lakiehdotus	committee bill	
valiokunnan varajäsen		ersättare
valiokunnan varajäsen		ersättare i utskott
valiokunnan varajäsen		suppleant
valiokunnan varajäsen	alternate member of a committee	
valiokunnan yksityiskohtainen käsittely		detaljbehandling
valiokunnan yksityiskohtainen käsittely		detaljbehandling i utskott
valiokunnan yksityiskohtainen käsittely		detaljerad behandling
valiokunnan yksityiskohtainen käsittely		detaljerad behandling i utskott
valiokunnan yksityiskohtainen käsittely	consideration in detail	
valiokunnan yleiskeskustelu		allmän debatt
valiokunnan yleiskeskustelu		allmän debatt i utskott
valiokunnan yleiskeskustelu	general committee debate	
valiokunnan yleiskeskustelu	general debate	
valiokunta		utskott
valiokunta	committee	
valiokuntakäsittely		behandling i utskott
valiokuntakäsittely		behandling i utskottet
valiokuntakäsittely		behandling i xxx utskottet
valiokuntakäsittely		utskottsbehandling
valiokuntakäsittely	committee reading	
valiokuntalaitos		utskottsinstitutionen
valiokuntalaitos		utskottsväsendet
valiokuntalaitos	committee system	
valiokuntaneuvos		utskottsråd
valiokuntaneuvos	committee counsel	
valiokuntaryhmä		utskottsgrupp
valiokuntaryhmä	committee group	
valiokuntasihteeristö		utskottssekretariatet
valiokuntasihteeristö	Committee Secretariat	
valiokuntavaltuuskunta		delegation från xxx utskottet
valiokuntavaltuuskunta		utskottsdelegation
valiokuntavaltuuskunta	committee delegation	
valiokuntavastaava		ansvarig i xxx utskottet
valiokuntavastaava		utskottsansvarig
valiokuntavastaava	committee co-ordinator	
valitsijayhdistys		valmansförening
valitsijayhdistys	constituency association	
valmistava keskustelu		förberedande debatt
valmistava keskustelu		förberedande diskussion
valmistava keskustelu	preparatory debate	
valmistelukunta		konvent
valmistelukunta	Convention	
valtakunnallinen ehdokasrekisteri		kandidatregister
valtakunnallinen ehdokasrekisteri		riksomfattande kandidatregister
valtakunnallinen ehdokasrekisteri	national candidate register	
valtakunnanoikeus		riksrätten
valtakunnanoikeus	High Court of Impeachment	
valtion budjetti		budgeten
valtion budjetti		statsbudgeten
valtion budjetti		statsförslaget
valtion budjetti	state budget	
valtion budjetti	the Budget	
valtion talousarvio		budgeten
valtion talousarvio		statsbudgeten
valtion talousarvio		statsförslaget
valtion talousarvio	state budget	
valtion talousarvio	the Budget	
valtion talousarvioesitys		budgetproposition
valtion talousarvioesitys		proposition om statsbudgeten
valtion talousarvioesitys		regeringens proposition om statsbudgeten
valtion talousarvioesitys	budget proposal	
valtion tilinpäätöskertomus		bokslutsberättelsen
valtion tilinpäätöskertomus		statens bokslutsberättelse
valtion tilinpäätöskertomus	Financial Statement and Budget Report	
valtion tilinpäätöskertomus	Report on the Final Central Government Accounts	
valtion tulo- ja menoarvio		budgeten
valtion tulo- ja menoarvio		statsbudgeten
valtion tulo- ja menoarvio		statsförslaget
valtion tulo- ja menoarvio	state budget	
valtion tulo- ja menoarvio	the Budget	
valtionavustus		partibidrag
valtionavustus		partistöd
valtionavustus		statsunderstöd
valtionavustus		statsunderstöd till parti
valtionavustus	party subsidy	
valtionavustus puolueelle		partibidrag
valtionavustus puolueelle		partistöd
valtionavustus puolueelle		statsunderstöd
valtionavustus puolueelle		statsunderstöd till parti
valtionavustus puolueelle	party subsidy	
valtioneuvosto		regering
valtioneuvosto		statsrådet
valtioneuvosto	Government	
valtioneuvoston asetus		förordning av statsrådet
valtioneuvoston asetus		statsrådets förordning
valtioneuvoston asetus	government decree	
valtioneuvoston kanta		regeringens ståndpunkt
valtioneuvoston kanta		statsrådets ståndpunkt
valtioneuvoston kanta	Government’s position	
valtioneuvoston kertomus kielilainsäädännön soveltamisesta		berättelsen om språkförhållandena
valtioneuvoston kertomus kielilainsäädännön soveltamisesta		berättelsen om tillämpningen av språklagstiftningen
valtioneuvoston kertomus kielilainsäädännön soveltamisesta		statsrådets berättelse om tillämpningen av språklagstiftningen
valtioneuvoston kertomus kielilainsäädännön soveltamisesta	Report on the Application of Language Legislation	
valtioneuvoston kirjelmä		skrivelse av statsrådet
valtioneuvoston kirjelmä		skrivelse från statsrådet
valtioneuvoston kirjelmä		statsrådets skrivelse
valtioneuvoston kirjelmä	government communication	
valtioneuvoston kirjelmä Euroopan unionin asiasta		U-skrivelse
valtioneuvoston kirjelmä Euroopan unionin asiasta		statsrådets skrivelse om ett EU-ärende
valtioneuvoston kirjelmä Euroopan unionin asiasta		statsrådets skrivelse om ett ärende som gäller Europeiska unionen
valtioneuvoston kirjelmä Euroopan unionin asiasta	Union communication	
valtioneuvoston kirjelmä Euroopan unionin asiasta	government communication on a European Union matter	
valtioneuvoston kirjelmä valtioneuvoston jäsenen sidonnaisuuksista		SR
valtioneuvoston kirjelmä valtioneuvoston jäsenen sidonnaisuuksista		statsrådets skrivelse om statsrådsmedlems bindningar
valtioneuvoston kirjelmä valtioneuvoston jäsenen sidonnaisuuksista	government communication on the private interests of a member of the Government	
valtioneuvoston muodostaminen		regeringsbildning
valtioneuvoston muodostaminen	formation of the Government	
valtioneuvoston oikeuskanslerin kertomus		JK:s berättelse
valtioneuvoston oikeuskanslerin kertomus		justitiekanslerns berättelse
valtioneuvoston oikeuskanslerin kertomus		justitiekanslerns i statsrådet berättelse
valtioneuvoston oikeuskanslerin kertomus	Report of the Chancellor of Justice	
valtioneuvoston periaatepäätös		principbeslut av statsrådet
valtioneuvoston periaatepäätös		statsrådets principbeslut
valtioneuvoston periaatepäätös	government resolution	
valtioneuvoston selonteko		SRR
valtioneuvoston selonteko		redogörelse från statsrådet
valtioneuvoston selonteko		statsrådets redogörelse
valtioneuvoston selonteko	government report	
valtioneuvoston selonteko	report of the Government	
valtioneuvoston selvitys Euroopan unionin asiasta		E-skrivelse
valtioneuvoston selvitys Euroopan unionin asiasta		statsrådets utredning om ett EU-ärende
valtioneuvoston selvitys Euroopan unionin asiasta	Europe communication	
valtioneuvoston selvitys Euroopan unionin asiasta	government report on a European Union matter	
valtioneuvoston selvitys UTP-asiasta		USP-utredning
valtioneuvoston selvitys UTP-asiasta		statsrådets utredning om ett USP-ärende
valtioneuvoston selvitys UTP-asiasta	Foreign and Security Policy Document	
valtioneuvoston tiedonanto		SRM
valtioneuvoston tiedonanto		meddelande från statsrådet
valtioneuvoston tiedonanto		statsrådets meddelande
valtioneuvoston tiedonanto	government statement	
valtioneuvoston tiedonanto	statement of the Government	
valtiontilintarkastajien kertomus		statsrevisorernas berättelse
valtiontilintarkastajien kertomus	Parliamentary Auditors’ Report	
valtiontilintarkastajien kertomus	Report of the Parliamentary Auditors	
valtiopäivien avajaiset		riksmötets öppnande
valtiopäivien avajaiset		öppnande av riksmöte
valtiopäivien avajaiset	State Opening of Parliament	
valtiopäivien avajaiset	opening ceremonies of the parliamentary session	
valtiopäivien avajaiset	opening of the parliamentary session	
valtiopäivien avauskeskustelu		riksmötets öppningsdebatt
valtiopäivien avauskeskustelu		öppningsdebatt
valtiopäivien avauskeskustelu	opening debate of the parliamentary session	
valtiopäivien keskeyttäminen		avbrytande av riksmöte
valtiopäivien keskeyttäminen	adjournment of the parliamentary session	
valtiopäiväasia		riksdagsärende
valtiopäiväasia	parliamentary business	
valtiopäiväasia	parliamentary matter	
valtiopäiväasiakirja		parlamentstrycket
valtiopäiväasiakirja		riksdagsdokument
valtiopäiväasiakirja		riksdagshandling
valtiopäiväasiakirja	parliamentary document	
valtiopäiväasioiden seurantajärjestelmä		Veps
valtiopäiväasioiden seurantajärjestelmä		databas för riksdagsärenden
valtiopäiväasioiden seurantajärjestelmä		riksdagens sakregister
valtiopäiväasioiden seurantajärjestelmä		systemet för uppföljning av riksdagsärenden
valtiopäiväasioiden seurantajärjestelmä		ärendedatabas
valtiopäiväasioiden seurantajärjestelmä	parliamentary information management system	
valtiopäiväjumalanpalvelus		riksdagsgudstjänst
valtiopäiväjumalanpalvelus	special service of worship for Parliament	
valtiopäiväkokemus		riksdagserfarenhet
valtiopäiväkokemus		riksdagskarriär
valtiopäiväkokemus	parliamentary experience	
valtiopäivät		folkrepresentation
valtiopäivät		parlament
valtiopäivät		riksdag
valtiopäivät		riksmöte
valtiopäivät	annual session	
valtiopäivät	legislature	
valtiopäivät	parliament	
valtiopäivät	parliamentary session	
valtiopäivät	session	
valtiopäivätoimi		riksdagsinitiativ
valtiopäivätoimi	parliamentary action	
valtiosopimuksen voimaansaattamislaki		ikraftträdandelag
valtiosopimuksen voimaansaattamislaki		lag om att sätta i kraft ett fördrag
valtiosopimuksen voimaansaattamislaki		lag om ikraftträdande
valtiosopimuksen voimaansaattamislaki		lag om ikraftträdande av ett fördrag
valtiosopimuksen voimaansaattamislaki		lag om sättande i kraft av ett fördrag
valtiosopimuksen voimaansaattamislaki	act bringing into force a treaty	
valtiosopimus		fördrag
valtiosopimus		internationell överenskommelse
valtiosopimus		internationellt avtal
valtiosopimus		internationellt fördrag
valtiosopimus		traktat
valtiosopimus	convention	
valtiosopimus	treaty	
valtiosääntö		författning
valtiosääntö		konstitution
valtiosääntö		statsförfattning
valtiosääntö	Constitution	
valtiovarainvaliokunta		FiU
valtiovarainvaliokunta		finansutskottet
valtiovarainvaliokunta		statsutskottet
valtiovarainvaliokunta	Finance Committee	
vapaan mandaatin periaate		förbud mot imperativt mandat
vapaan mandaatin periaate		principen om fritt mandat
vapaan mandaatin periaate	principle of free mandate	
vapautus edustajantoimesta		befrielse från ledamotsuppdraget
vapautus edustajantoimesta		befrielse från uppdraget som riksdagsledamot
vapautus edustajantoimesta	release from office	
vapautus edustajantoimesta	release from the office of Member of Parliament	
vapautuspyyntö		BEF
vapautuspyyntö		begäran om befrielse
vapautuspyyntö	request for a release from parliamentary responsibilities	
varaedustaja		ersättare
varaedustaja		ersättare för riksdagsledamot
varaedustaja		suppleant
varaedustaja	alternate Member of Parliament	
varaedustaja	deputy Member of Parliament	
varaedustaja	replacement Member of Parliament	
varamies		ersättare
varamies		ersättare för riksdagsledamot
varamies		suppleant
varamies	alternate Member of Parliament	
varamies	deputy Member of Parliament	
varamies	replacement Member of Parliament	
varapuhemies		riksdagens vice talman
varapuhemies		vice talman
varapuhemies	Deputy Speaker	
